mineral	max_age	min_age	dated_locality_longname
Calcite	4567.61	4565.65	Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico
Siderite	3254.0	3067.0	Bangur Gabbro, Baula Complex, Odisha, India
Malachite	3326.0	3288.0	Boobina Creek Prospect, Nullagine, East Pilbara Shire, Western Australia, Australia
Azurite	3326.0	3288.0	Boobina Creek Prospect, Nullagine, East Pilbara Shire, Western Australia, Australia
Calcite	4620.0	4480.0	Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA
Reevesite	4620.0	4480.0	Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA
Malachite	3351.0	3117.0	Coppin Gap Cu-Mo Deposit (Spinifex Ridge), Bamboo Creek District, East Pilbara Shire, Western Australia, Australia
Azurite	3351.0	3117.0	Coppin Gap Cu-Mo Deposit (Spinifex Ridge), Bamboo Creek District, East Pilbara Shire, Western Australia, Australia
Rosasite	3350.0	65.0	Coppin Pool, Tom Price, Ashburton Shire, Western Australia, Australia
Phosgenite	3350.0	65.0	Coppin Pool, Tom Price, Ashburton Shire, Western Australia, Australia
Malachite	3350.0	65.0	Coppin Pool, Tom Price, Ashburton Shire, Western Australia, Australia
Cerussite	3350.0	65.0	Coppin Pool, Tom Price, Ashburton Shire, Western Australia, Australia
Ankerite	4000.0	2500.0	Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia
Azurite	4000.0	2500.0	Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia
Malachite	4000.0	2500.0	Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia
Dolomite	3000.0	2800.0	Isua Belt, Nuuk (GodthÃ¥b), Sermersooq, Greenland, Denmark
Magnesite	3000.0	2800.0	Isua Belt, Nuuk (GodthÃ¥b), Sermersooq, Greenland, Denmark
Bismutite	3026.0	1363.0	Moly Hill Mine, La Motte, Abitibi RCM, Abitibi-TÃ©miscamingue, QuÃ©bec, Canada
Aragonite	4700.0	4700.0	Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia
Dolomite	4700.0	0.0	Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia
Aragonite	4700.0	0.0	Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia
Dolomite	4700.0	4700.0	Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia
Calcite	4700.0	4700.0	Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia
Calcite	4700.0	0.0	Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia
Dolomite	3200.0	3200.0	Nangaroo Copper Mine, Eulaminna (Murrin Murrin Mining Centre), Leonora Shire, Western Australia, Australia
Dolomite	3050.0	3050.0	New Consort Mine, Barberton, Ehlanzeni District, Mpumalanga, South Africa
Dolomite	3110.0	3050.0	New Consort Mine, Barberton, Ehlanzeni District, Mpumalanga, South Africa
Calcite	3110.0	3050.0	New Consort Mine, Barberton, Ehlanzeni District, Mpumalanga, South Africa
Calcite	3050.0	3050.0	New Consort Mine, Barberton, Ehlanzeni District, Mpumalanga, South Africa
Dolomite	4330.0	4010.0	Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China
Calcite	4330.0	4010.0	Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China
Dolomite	4000.0	2500.0	Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia
Siderite	4000.0	2500.0	Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia
Siderite	4000.0	0.0	Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia
Reevesite	4000.0	0.0	Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia
Reevesite	4000.0	2500.0	Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia
Otwayite	4000.0	0.0	Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia
Otwayite	4000.0	2500.0	Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia
Nullaginite	4000.0	2500.0	Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia
Nullaginite	4000.0	0.0	Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia
Magnesite	4000.0	0.0	Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia
Magnesite	4000.0	2500.0	Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia
Dolomite	4000.0	0.0	Otway Ni Deposit, Nullagine, East Pilbara Shire, Western Australia, Australia
Calcite	4000.0	2500.0	Sigma Mine (Sigma No. 1 Mine), Val D'Or, La VallÃ©e-de-l'Or RCM, Abitibi-TÃ©miscamingue, QuÃ©bec, Canada
Calcite	3009.0	2540.0	Tupertalik Mt., Isortoq Fjord (SÃ¸ndre Isortoq), Qeqqata, Greenland, Denmark
Dolomite	3009.0	2540.0	Tupertalik Mt., Isortoq Fjord (SÃ¸ndre Isortoq), Qeqqata, Greenland, Denmark
Malachite	3200.0	3200.0	Whim Creek Copper Mine (Whim Creek Copper Prospect; Whim Well Mine), Whim Creek, Roebourne Shire, Western Australia, Australia
Calcite	3200.0	3200.0	Whim Creek Copper Mine (Whim Creek Copper Prospect; Whim Well Mine), Whim Creek, Roebourne Shire, Western Australia, Australia
Azurite	3200.0	3200.0	Whim Creek Copper Mine (Whim Creek Copper Prospect; Whim Well Mine), Whim Creek, Roebourne Shire, Western Australia, Australia
Cerussite	3200.0	3200.0	Whim Creek Copper Mine (Whim Creek Copper Prospect; Whim Well Mine), Whim Creek, Roebourne Shire, Western Australia, Australia
Smithsonite	3200.0	3200.0	Whim Creek Copper Mine (Whim Creek Copper Prospect; Whim Well Mine), Whim Creek, Roebourne Shire, Western Australia, Australia
