mineral,counts
Calcite,1802
Malachite,1079
Dolomite,912
Azurite,725
Siderite,667
Cerussite,508
Ankerite,422
Aragonite,319
Smithsonite,305
Rhodochrosite,253
Magnesite,169
Bismutite,163
Hydrozincite,144
Aurichalcite,141
Strontianite,120
Rosasite,102
Synchysite-(Ce),69
Leadhillite,63
Kutnohorite,58
Rutherfordine,58
Hydrocerussite,57
Witherite,52
Liebigite,48
Hydromagnesite,46
Beyerite,42
Parisite-(Ce),39
Ancylite-(Ce),39
Phosgenite,38
Brianyoungite,34
Burbankite,32
Bayleyite,31
Spherocobaltite,31
Dundasite,28
Hydrotalcite,27
Andersonite,27
Kettnerite,25
Susannite,24
Reevesite,24
Pyroaurite,23
Barytocalcite,22
Norsethite,19
Dypingite,19
Zellerite,19
Shortite,18
Calcioancylite-(Ce),18
Huntite,18
Synchysite-(Y),17
Takovite,17
Trona,17
Dawsonite,17
Monohydrocalcite,17
Kamphaugite-(Y),16
Carbocernaite,15
Nesquehonite,15
Vaterite,15
Nahcolite,15
Eitelite,14
Stichtite,13
Nyerereite,13
Glaukosphaerite,12
Znucalite,12
Chalconatronite,12
Bradleyite,11
Zabuyelite,11
Cordylite-(Ce),11
Nullaginite,10
Plumbonacrite,10
Thermonatrite,10
Otwayite,10
Tengerite-(Y),10
Daqingshanite-(Ce),9
Huanghoite-(Ce),9
Northupite,9
Olekminskite,9
Gaylussite,9
Claraite,9
Otavite,8
Alstonite,8
Roubaultite,8
Alumohydrocalcite,8
Benstonite,8
Voglite,8
Zaratite,8
Artinite,8
Kamotoite-(Y),8
Kolwezite,7
Mcguinnessite,7
Zincrosasite,7
Wyartite,7
Donnayite-(Y),7
Widenmannite,7
Urancalcarite,7
Brugnatellite,7
Swartzite,7
Mckelveyite-(Y),6
Natrite,6
Natron,6
Quintinite,6
Lanthanite-(Ce),6
Abellaite,6
Fontanite,6
Gysinite-(Nd),6
Calkinsite-(Ce),6
Lecoqite-(Y),5
Giorgiosite,5
Cebaite-(Ce),5
Rabbittite,5
Paralstonite,5
Metazellerite,5
Bijvoetite-(Y),5
Kambaldaite,5
Gregoryite,5
Zemkorite,5
Fairchildite,5
Calcioancylite-(Nd),4
Hellyerite,4
Sidorenkite,4
Sabinaite,4
Synchysite-(Nd),4
Arisite-(Ce),4
Adamsite-(Y),4
Joliotite,4
Weloganite,4
Coalingite,4
Minrecordite,4
Bonshtedtite,4
Sharpite,4
Shannonite,4
Pirssonite,4
Comblainite,3
Scarbroite,3
Chlormagaluminite,3
Shomiokite-(Y),3
Georgeite,3
Dresserite,3
Shabaite-(Nd),3
Schuilingite-(Nd),3
Ewaldite,3
Strontiodresserite,3
Karchevskyite,3
Ancylite-(La),3
Zaccagnaite,3
Lanthanite-(Nd),3
Lepersonnite-(Gd),3
Astrocyanite-(Ce),3
Lokkaite-(Y),3
Widgiemoolthalite,3
Macphersonite,3
Montroyalite,3
Calcioburbankite,3
Hydrodresserite,3
Caresite,2
Blatonite,2
Tychite,2
Brenkite,2
Rouvilleite,2
Decrespignyite-(Y),2
Clearcreekite,2
Callaghanite,2
Qaqarssukite-(Ce),2
Peterbaylissite,2
Kalicinite,2
Kukharenkoite-(Ce),2
Paratooite-(La),2
Lansfordite,2
Petersenite-(Ce),2
Lanthanite-(La),2
Oswaldpeetersite,2
Khanneshite,2
Ferrotychite,2
Kimuraite-(Y),2
Markeyite,1
Meyrowitzite,1
Thomasclarkite-(Y),1
Teschemacherite,1
Juangodoyite,1
Nasledovite,1
Manganotychite,1
Ramikite-(Y),1
Baylissite,1
Lusernaite-(Y),1
Natromarkeyite,1
Barentsite,1
Lukechangite-(Ce),1
Arisite-(La),1
Kozoite-(La),1
Kozoite-(Nd),1
Alexkhomyakovite,1
Agricolaite,1
Indigirite,1
Grimselite,1
Ikaite,1
Niveolanite,1
Desautelsite,1
Putnisite,1
Crawfordite,1
Pseudomarkeyite,1
Cordylite-(La),1
Pokrovskite,1
Sahamalite-(Ce),1
Petterdite,1
Sclarite,1
Sergeevite,1
Peatite-(Y),1
Sheldrickite,1
Parisite-(La),1
Galgenbergite-(Ce),1
Para-alumohydrocalcite,1
Paddlewheelite,1
Somersetite,1
Chukanovite,1
Charmarite,1
Reederite-(Y),1
Holdawayite,1
Kukharenkoite-(La),1
