rarity_group,counts,period
Transitional,1,Archean I
Ubiquitous,8,Archean I
Generally Rare,3,Archean II
Transitional,8,Archean II
Ubiquitous,14,Archean II
Generally Rare,3,Proterozoic I
Transitional,13,Proterozoic I
Ubiquitous,27,Proterozoic I
Generally Rare,2,Proterozoic II
Transitional,23,Proterozoic II
Ubiquitous,33,Proterozoic II
Endemic,1,Phanerozoic I
Generally Rare,3,Phanerozoic I
Transitional,48,Phanerozoic I
Ubiquitous,40,Phanerozoic I
Endemic,9,Phanerozoic II
Generally Rare,14,Phanerozoic II
Transitional,45,Phanerozoic II
Ubiquitous,41,Phanerozoic II
