mineral,max_age,counts
Ankerite,2500.0,5
Ankerite,4000.0,3
Ankerite,3640.0,1
Ankerite,2969.0,1
Ankerite,2727.0,1
Ankerite,2725.0,1
Ankerite,2720.0,1
Ankerite,2716.0,1
Ankerite,2764.0,1
Ankerite,2690.0,1
Ankerite,2686.0,1
Ankerite,2670.0,1
Ankerite,2632.0,1
Ankerite,2600.0,1
Ankerite,2501.0,1
Ankerite,2709.0,2
Aragonite,2500.0,1
Aragonite,2686.0,1
Aragonite,2709.0,2
Aragonite,2792.82,1
Aragonite,4700.0,1
Azurite,3326.0,1
Azurite,4000.0,1
Azurite,3640.0,1
Azurite,3200.0,5
Azurite,3351.0,1
Azurite,2709.0,2
Azurite,2690.0,1
Azurite,2622.0,1
Azurite,2500.0,9
Azurite,2710.0,1
Calcite,2792.82,1
Calcite,2772.0,1
Calcite,2764.0,1
Calcite,2744.0,1
Calcite,2740.0,1
Calcite,2725.0,1
Calcite,2724.0,1
Calcite,2721.0,1
Calcite,2720.0,2
Calcite,2716.0,1
Calcite,2727.0,1
Calcite,2800.0,1
Calcite,2858.0,1
Calcite,2918.0,1
Calcite,2932.0,1
Calcite,2969.0,1
Calcite,3009.0,1
Calcite,3110.0,1
Calcite,3200.0,2
Calcite,4000.0,6
Calcite,4330.0,1
Calcite,4567.61,1
Calcite,4700.0,1
Calcite,2711.0,1
Calcite,2803.0,1
Calcite,2710.0,2
Calcite,4620.0,1
Calcite,2700.0,1
Calcite,2709.0,4
Calcite,2500.0,16
Calcite,2501.0,1
Calcite,2550.0,1
Calcite,2554.93,1
Calcite,2567.0,1
Calcite,2584.0,1
Calcite,2600.0,1
Calcite,2608.3,1
Calcite,2615.0,2
Calcite,2631.0,1
Calcite,2632.0,1
Calcite,2529.0,1
Calcite,2641.0,1
Calcite,2644.0,2
Calcite,2652.0,1
Calcite,2660.0,1
Calcite,2667.0,1
Calcite,2670.0,1
Calcite,2679.7,1
Calcite,2686.0,1
Calcite,2698.0,2
Calcite,2690.0,1
Calcite,2696.0,1
Calcite,2639.0,1
Cerussite,3640.0,1
Cerussite,3350.0,1
Cerussite,3200.0,1
Cerussite,2926.0,1
Cerussite,2690.0,1
Cerussite,2500.0,3
Cerussite,2860.0,1
Dolomite,4700.0,1
Dolomite,4330.0,1
Dolomite,4000.0,4
Dolomite,3200.0,1
Dolomite,3110.0,1
Dolomite,3009.0,1
Dolomite,2764.0,1
Dolomite,2969.0,1
Dolomite,2932.0,1
Dolomite,2900.0,1
Dolomite,2816.0,1
Dolomite,2770.0,1
Dolomite,2744.0,1
Dolomite,3000.0,1
Dolomite,2727.0,1
Dolomite,2739.0,1
Dolomite,2500.0,17
Dolomite,2667.0,1
Dolomite,2670.0,1
Dolomite,2686.0,1
Dolomite,2615.0,1
Dolomite,2706.0,1
Dolomite,2709.0,5
Dolomite,2711.0,1
Dolomite,2716.0,1
Dolomite,2725.0,1
Dolomite,2690.0,1
Malachite,2800.0,1
Malachite,3640.0,1
Malachite,3351.0,1
Malachite,3350.0,1
Malachite,3326.0,1
Malachite,3200.0,5
Malachite,2932.0,1
Malachite,2792.82,1
Malachite,4000.0,4
Malachite,2727.0,1
Malachite,2724.0,1
Malachite,2709.0,1
Malachite,2707.0,1
Malachite,2690.0,1
Malachite,2622.0,1
Malachite,2501.0,1
Malachite,2500.0,13
Malachite,2739.0,1
Rhodochrosite,3411.0,1
Rhodochrosite,2716.0,1
Rhodochrosite,2660.0,1
Rhodochrosite,2644.0,1
Rhodochrosite,2550.0,1
Rhodochrosite,2500.0,2
Siderite,3254.0,1
Siderite,2969.0,1
Siderite,2803.0,1
Siderite,2744.0,1
Siderite,4000.0,2
Siderite,2739.0,1
Siderite,2735.0,1
Siderite,2730.0,1
Siderite,2725.0,1
Siderite,2670.0,1
Siderite,2709.0,2
Siderite,2698.0,1
Siderite,2690.0,1
Siderite,2686.0,1
Siderite,2550.0,1
Siderite,2529.0,1
Siderite,2501.0,1
Siderite,2500.0,6
Siderite,2716.0,1
Smithsonite,2918.0,1
Smithsonite,2500.0,4
Smithsonite,2501.0,1
Smithsonite,2690.0,1
Smithsonite,3200.0,1
